Diptera,Lepidoptera,Coleoptera,Archnid_scorp,Archnid_spider,Other,Nematodes,Centipede,Isopod,Hemiptera,Hymenoptera,Orthoptera,Ephermeroptera,Gecko_skin,Blattaria
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0.333333333,0,0,0,0,0,0,0.333333333,0,0.333333333,0
0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0
0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0.333333333
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0
0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0.333333333,0,0,0
0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.111111111,0,0.111111111,0.111111111,0,0,0,0.555555556,0,0,0.111111111,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.333333333,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0
0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0
0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
0,0,0.833333333,0,0,0,0,0,0,0.166666667,0,0,0,0,0
0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
0,0.333333333,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0
0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
