Site2,Sex,Specimen #
Carmabi,F,12673
Carmabi,M,12704
Carmabi,F,12706
Lagun,M,12678
Lagun,F,12679
Lagun,F,12689
Lagun,F,12697
Lagun,na,12698
Lagun,M,12709
Lagun,M,112710
Shete,M,12644
Shete,F,12645
Shete,M,12646
Shete,M,12647
Shete,F,12648
Shete,F,12649
Shete,F,12650
Shete,F,12651
Shete,F,112714
Shete,M,112715
Shete,F,112716
Shete,M,112717
Shete,F,112718
Shete,na,112719
westpunt,M,12513
westpunt,M,12514
westpunt,F,12515
westpunt,F,12516
westpunt,M,12517
westpunt,F,12518
westpunt,M,12520
westpunt,F,12521
westpunt,F,12522
westpunt,M,12524
westpunt,F,12525
westpunt,F,12543
westpunt,M,12544
westpunt,F,12547
westpunt,M,12551
westpunt,M,12582
westpunt,F,12584
westpunt,M,12615
westpunt,F,12618
westpunt,F,12621
westpunt,F,12622
westpunt,F,12623
westpunt,F,12636
westpunt,F,12637
westpunt,M,12638
westpunt,F,12639
westpunt,M,12640
westpunt,F,R17585
westpunt,F,R17586
westpunt,M,R17587
westpunt,F,R17588
westpunt,M,R17589
westpunt,M,R17590
westpunt,M,R17592
westpunt,F,R17593
westpunt,M,R17594
westpunt,F,R17595
westpunt,M,R17596
westpunt,M,R17597
westpunt,F,R17598
westpunt,F,R17599
westpunt,F,R17600
westpunt,F,R17601
westpunt,M,R17602
westpunt,F,R17607
